Date,Open,High,Low,Close,Volume,Adj Close
2013-08-30,53.50,53.54,52.29,53.04,364100,53.04
2013-08-29,52.83,54.43,52.56,53.59,272800,53.59
2013-08-28,52.85,53.38,52.31,52.83,272700,52.83
2013-08-27,54.59,55.43,52.93,53.00,317500,53.00
2013-08-26,55.68,56.53,54.96,55.26,415700,55.26
2013-08-23,54.89,55.50,54.72,55.45,230200,55.45
2013-08-22,54.77,55.27,54.46,54.72,207500,54.72
2013-08-21,55.20,55.20,54.35,54.48,292900,54.48
2013-08-20,55.15,55.73,54.84,55.41,376300,55.41
2013-08-19,55.68,56.59,55.10,55.18,591700,55.18
2013-08-16,54.80,55.86,54.19,55.58,481900,55.58
2013-08-15,55.65,55.98,54.72,54.82,390400,54.82
2013-08-14,57.53,57.53,56.00,56.04,813100,56.04
2013-08-13,54.92,57.57,54.77,56.88,1090100,56.88
2013-08-12,53.13,54.93,52.71,54.53,644000,54.53
2013-08-09,52.21,52.92,52.01,52.51,501700,52.51
2013-08-08,52.04,52.30,50.48,52.18,2506600,52.18
2013-08-07,51.75,51.75,50.01,50.55,573400,50.55
2013-08-06,52.52,52.81,51.64,51.75,311400,51.75
2013-08-05,52.27,52.57,52.05,52.42,409100,52.42
2013-08-02,51.19,52.66,50.06,52.08,448400,52.08
2013-08-01,150.31,154.47,148.01,154.28,2274300,51.43
2013-07-31,156.02,159.00,149.04,149.31,1446300,49.77
2013-07-30,142.06,146.38,142.06,144.13,732900,48.04
2013-07-29,140.01,143.14,139.01,141.35,450900,47.12
2013-07-26,143.69,144.80,142.59,143.70,310800,47.90
2013-07-25,145.74,146.50,144.70,144.91,287100,48.30
2013-07-24,145.27,147.93,145.27,145.84,363900,48.61
2013-07-23,146.35,146.40,144.50,145.14,476700,48.38
2013-07-22,144.86,146.20,144.58,145.70,315300,48.57
2013-07-19,145.96,148.00,144.67,145.53,278100,48.51
2013-07-18,148.35,150.31,146.48,146.73,418200,48.91
2013-07-17,143.02,148.63,142.03,148.24,458400,49.41
2013-07-16,141.85,144.13,141.28,141.98,636600,47.33
2013-07-15,142.48,142.94,141.28,142.17,555300,47.39
2013-07-12,141.88,143.50,140.63,142.07,555000,47.36
2013-07-11,141.29,142.96,140.35,141.60,647400,47.20
2013-07-10,146.69,146.69,137.48,139.62,1187400,46.54
2013-07-09,149.56,151.83,145.49,146.51,610500,48.84
